,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
140,[5. 0. 0. ... 0. 0. 0.],6.6385929715794525,0.0,0.030523588742042147,0.007638214005091187,140.0,0.0,0.9416872864380819,117.4646918668423,140,myopic,run
141,[5. 0. 0. ... 0. 0. 0.],6.663149821615162,0.0,0.030523404857179984,0.007663246626908204,141.0,0.0,0.9415812418993756,117.04768004960593,141,myopic,run
142,[5. 0. 0. ... 0. 0. 0.],6.687177379158872,0.0,0.030523404857179984,0.0077052116304801455,142.0,0.0,0.9412866737363027,117.45392053858623,142,myopic,run
143,[5. 0. 0. ... 0. 0. 0.],6.709878603127441,0.0,0.03052898184798909,0.007739570969167041,143.0,0.0,0.9411217155649818,117.60735139165216,143,myopic,run
144,[5. 0. 0. ... 0. 0. 0.],6.732539062914982,0.0,0.03052898184798909,0.007770772144580367,144.0,0.0,0.9408860610345235,117.10462176377744,144,myopic,run
145,[5. 0. 0. ... 0. 0. 0.],6.754948173674296,0.0,0.03052942133791052,0.007821236027025445,145.0,0.0,0.9408860610345235,117.02863866665882,145,myopic,run
146,[5. 0. 0. ... 0. 0. 0.],6.776706222206629,0.0,0.030531754176975793,0.007859241334459689,146.0,0.0,0.9409096264875693,117.03102725363875,146,myopic,run
147,[5. 0. 0. ... 0. 0. 0.],6.798616764589962,0.0,0.030531754176975793,0.007876415297910395,147.0,0.0,0.9407211028632027,116.77288019232398,147,myopic,run
148,[5. 0. 0. ... 0. 0. 0.],6.8206772346281905,0.0,0.030533064914045335,0.007919697879153795,148.0,0.0,0.9406150583244964,116.67972207767491,148,myopic,run
149,[5. 0. 0. ... 0. 0. 0.],6.842591448815336,0.0,0.030533064914045335,0.007978712090216663,149.0,0.0,0.9407564510427714,116.46303624527927,149,myopic,run
150,[5. 0. 0. ... 0. 0. 0.],6.8634344739529105,0.0,0.030533064914045335,0.008012953249226918,150.0,0.0,0.9409803228467069,116.75458228574145,150,myopic,run
